상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_review,total_of_people_voted,리뷰 총인원
헨젤,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4702003869115,126.81926021095,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20헨젤,https://m.place.naver.com/restaurant/782831457,경기 부천시 양지로152번길 3 1층 henjell,,/아이가 좋아했어요 ^^ 감사합니다,,1
예당어죽닭발,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4703677906749,126.812587686038,별식/퓨전요리죽전문점한식 음식점업,범박동%20예당어죽닭발,https://m.place.naver.com/restaurant/37187175,경기 부천시 양지남로 31 1층 예당어죽닭발,,/김치맛집이에요. 어죽 잘하는 집이에요./강 추천^^/맛있어요~/ㅇㅇ/좋아요/음식 맛있어요/좋아요/맛있어요/굿/양도 많고 얼큰하면서 좋아요 김치도 맛있어요,,160
공간,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4696804330729,126.818624016269,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20공간,https://m.place.naver.com/restaurant/1330739200,경기 부천시 범안로 117 현대리치모아 506호,4.41,/굿/깨끗해요/좋아요/ㄹ/굿!/조용하고 분위기 좋아요/선생님 친절하시고 관리 잘되어 만족해요/좋아요/좋아요/좋아요^^,/4.41/43개 평점 23명 참여,11
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4677529115346,126.82230570854,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20BHC치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34,4.46,/너무 맛있어요^^양도많고 신선해여 감사합니다/늘 핫뿌링클~~매우면서 땡기는맛~~ 시즈닝이 넉넉히 많아 넘 좋아여~^^/매장도 청결하고 맛도 😀/후라이드치킨 너무 맛있어요 치즈볼도 맛있어요^^/맛초킹 맛있어요/굿/좋아요/좋아요/자주 갑니다./굿,/4.46/26개 평점 35명 참여,37
쥬시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4675351175665,126.822150862624,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20쥬시,https://m.place.naver.com/restaurant/1185246997,경기 부천시 양지로184번길 29 116호,,/가성비 좋아요/점장님이 너무너무 친절하시구! 너무 맛있습니다! 가성비에 행복함까지 더 가져갔네요! 감사합니다!!/양 짱 많이 주시고 친절 번창하세요/맛있어요~!!과일이 너무 싱싱해요!^^/미숫가루 맛있네요/시원하고 아주 좋아요~!!/저렴하니 가성비 좋아요/음료가 너무 맛있고 친절하십니다 🙂,,39
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287,별식/퓨전요리죽전문점한식 음식점업,범박동%20본죽,https://m.place.naver.com/restaurant/1256987099,경기 부천시 범안로 118 신한은행365) 영플러스 101호,4.38,/체해서 아들램이 제대로 못먹었는데..낚지김치죽먹고 소고기야채죽도 먹고 잘먹으니 기특하네요^^ 역시 죽은 본죽입니다^^/죽 좋아해서 자주 가요/아플때 사먹는곳/가까워서 방문해요/맛있게 먹었어요/포장 해 와서 자주 먹고 있어요. 사장님도 친절하시고 모든 메뉴 다 맛있습니다. 강추해요/맛있습니다./사장님이 엄청 친절하세요/굿/좋아요,/4.38/195개 평점 187명 참여,101
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721,한식한식/백반/한정식한식 음식점업,범박동%20영양사가차려주는밥상,https://m.place.naver.com/restaurant/1802642578,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층,4.31,/맛있어요/굿/Good/좋아요/음.. 종류가 생각했던것 만큼 다양하지 않음. 가성비는 글쎄요.. 맛도 그냥저냥.. 오삼불고기 인 듯 한데 냉동 오징어 사용.. 김x천x국 가서 사먹는게 나을 듯../굳/좋아요/푸짐해서 많이 먹거되네요 맛있고 깨끗해요 매뉴 고민스러울땐 아무생각없이 여기오면 딱이네요/😁/이전해서 처음가봤는데 깨끗하고 맛났어요 재방문 의사있습니다 굿,/4.31/260개 평점 224명 참여,125
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20청년다방,https://m.place.naver.com/restaurant/1605463968,경기 부천시 옥길로 113 상림프라자 102호,4.44,/차돌세트 푸짐해요.볶음밥도 맛있어요/오랜만에 방문해서 맛있게 먹고 갑니다~/매운 떡볶이 맛나요~/차돌떡볶이 맛있어요 :)/차돌세트 맛있어요./양도 많고 맛있어요/맛있는곳 알바생 응대는 별로/가격이… ㅠㅠ/좋아요/음식도맛있구 직원도 친절하고 넘좋아요,/4.44/430개 평점 398명 참여,145
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식떡볶이전문분식 및 김밥 전문점,범박동%20감탄떡볶이범박점,https://m.place.naver.com/restaurant/784508270,경기 부천시 범안로 117,4.42,/포장해먹기 좋음/매장 직원분도 친절하시고 양도 엄청 많고 맛있습니다/굿/좋아요/굿/굿~ㅋ/굿/떡볶이 맛있음니다/굿/굿,/4.42/571개 평점 359명 참여,220
명인참치,일식/수산물,참치전문점,일식 음식점업,범박동,37.4726990381664,126.813240425213,일식/수산물참치전문점일식 음식점업,범박동%20명인참치,https://m.place.naver.com/restaurant/37038975,경기 부천시 양지로92번길 9-3 상정프라자 101호,4.32,/^^/맛있어요/신선하고 맛있어요👍👍👍👍👍짱/😃/^^/🤭/^^/^^/좋아요/맛있어요,/4.32/44개 평점 43명 참여,39
