상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
토프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698399931171,126.809385467564
테이크파이브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,범박동,37.4732739104564,126.813061755155
Bhc치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4712023995777,126.809567347043
이디아,기타음식업,고속도로휴게소,그외 기타 음식점업,범박동,37.4736904041381,126.812365539063
셀렉토,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4710379770497,126.812927538886
카페차차,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738
수억국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,범박동,37.4695251825741,126.812126214945
베스킨라빈스부천범박점,패스트푸드,아이스크림판매,제과점업,범박동,37.475249946229,126.808858725198
박지훈Restaurant,일식/수산물,음식점-일식,일식 음식점업,범박동,37.4705232151822,126.812811325728
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4754451585627,126.79877098426
신도시다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4787254789071,126.793517649691
수란두화,중식,중국음식/중국집,중식 음식점업,소사본동,37.4802089482822,126.793199831666
하늘분식,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4819467333377,126.79131759505
두꺼비식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4799923879122,126.793169395713
5번가쌩라이브,유흥주점,룸살롱/단란주점,일반유흥 주점업,소사본동,37.480077278195,126.793541139571
골뱅이포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4753153555329,126.794872620992
한솥,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4813116161099,126.792650689737
바지락칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4726069108803,126.794350850421
복어대감,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4824450834381,126.796001846068
섬진강메기매운탕전문점,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4798478639113,126.795783477008
아싸비어소사,유흥주점,호프/맥주,기타 주점업,소사본동,37.4753163143255,126.79761987258
카페포근,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4728733776014,126.792209876929
제이yj인테리어디자인&까페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4723468146323,126.798006600961
세종구내매점,한식,한식/백반/한정식,한식 음식점업,소사본동,37.480512350953,126.791148492694
숯불한마당,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4775808615708,126.795254559409
남해아구찜,일식/수산물,아구전문,한식 음식점업,소사본동,37.4806674454544,126.795747710549
산새공원카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4752824398944,126.790769210731
대보포차,유흥주점,호프/맥주,기타 주점업,소사본동,37.478541011953,126.794866042609
호원냉면,한식,냉면집,한식 음식점업,소사본동,37.4776799597498,126.795252968427
코리안바베큐,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4800682466365,126.795305073784
투썸플레이스부천MJ컨벤션점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4817853797173,126.798465965003
맛골김밥,분식,라면김밥분식,분식 및 김밥 전문점,소사본동,37.4707188216644,126.795636026101
황금풍천장어숯불꼼장어,일식/수산물,곰장어전문,한식 음식점업,소사본동,37.4798478639113,126.795783477008
장충도도왕족발,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4801776460288,126.793663895675
슬비식당,한식,한식/백반/한정식,한식 음식점업,소사본동,37.480077278195,126.793541139571
복사골,한식,한식/백반/한정식,한식 음식점업,소사본동,37.4712011557981,126.795221306563
냠냠숯불두마리치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4794716515776,126.796886221152
사랑방왕돈까스,양식,정통양식/경양식,서양식 음식점업,소사본동,37.4813116161099,126.792650689737
반달커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4762255056355,126.793116918122
응응스크르,패스트푸드,아이스크림판매,제과점업,소사본동,37.4688580208819,126.800492969553
장충동왕족발보쌈소사점,한식,족발/보쌈전문,한식 음식점업,소사본동,37.4801796054914,126.798276858311
예솔촌설렁탕,한식,설렁탕집,한식 음식점업,소사본동,37.4804312806207,126.798216295518
뽀독,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4797188060013,126.797266672132
카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4827328116336,126.795058769099
마시쩡,패스트푸드,아이스크림판매,제과점업,소사본동,37.4719685398419,126.803348678275
명륜진사갈비,한식,갈비/삼겹살,한식 음식점업,소사본동,37.4730402947287,126.804190792463
카페인중독,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.480907800153,126.790169765798
홍이모옛날통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4789856912507,126.794293592011
치킨플러스,닭/오리요리,후라이드/양념치킨,치킨 전문점,소사본동,37.4712973521314,126.795818928492
인생아구찜,일식/수산물,아구전문,한식 음식점업,소사본동,37.479782282675,126.794653899762
카페G,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,소사본동,37.4800908743959,126.795756964261
그유명한덕이순대국,별식/퓨전요리,순대전문점,한식 음식점업,소사본동,37.4711931841081,126.795323179546
빨간통피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",소사본동,37.4772852732098,126.796310755636
낭만이흐르는호프앤포차,유흥주점,소주방/포장마차,기타 주점업,소사본동,37.4810414551166,126.794430155209
이들,분식,국수/만두/칼국수,분식 및 김밥 전문점,소사본동,37.4707820871205,126.79919606816
