가게_평점,평점에_참여한_인원,방문자_리뷰,리뷰_총인원
4.42,359,/포장해먹기 좋음/매장 직원분도 친절하시고 양도 엄청 많고 맛있습니다/굿/좋아요/굿/굿~ㅋ/굿/떡볶이 맛있음니다/굿/굿,220
4.32,43,/^^/맛있어요/신선하고 맛있어요👍👍👍👍👍짱/😃/^^/🤭/^^/^^/좋아요/맛있어요,39
4.45,426,"/역곡에서 자주가는 맛집. 가보면 왜 맛집이라 하는지 알 수 있습니다. 가성비 좋은 이탈리아 레스토랑이라 데이트코스나 가족모임 장소로 최고예요./완전 맛있어요!!! 빵을 까르보나라 소스에 찍어 먹으면 꿀맛!!/근처에 이렇게 맛있는 파스타집이 있는줄몰랐어요~ 가격도 좋고 맛도있어서 자주 올 듯하네요 :) 빠네 강추에요!!/여기 로제 빠네 엄청 맛있어요! 크림도 넉넉해서 빵 다 찍어 먹기 충분해요~~ 피자도 토핑 다양하게 먹을 수 있어 좋네요!/명란크림파스타에 명란이 많아요. 크림의 풍미와 잘 어울립니다. 알리오올리오 파스타도 깔끔하고 맛있습니다. 사장님이 친절하세요/맥주와 함께 즐길 수있는 파스타 맛있어요! 특히 칼칼한 불마녀 파스타 추천해요:)/초창기 범박동 카페거리 생길때부터 지금까지 쭉 자리를 지키고 있는 몇 안되는 식당 중 하나예요. 분위기 내고 싶을때가 아닌, 파스타를 후루룩 먹어버 리고 싶을때 먹기 좋은 곳 아닌가 싶어요. 배달 주문 했는데요~ 최소 주문이 5,000원 이상이면 된다니요😘😁😄 혼밥할때 딱 좋았습니다./오랫만에와서 맛있게,잘먹었어요 여전히,친절하세요~/메뉴가 많아서 좋아요. ^.^* 아이와 함께 오기도 좋아요. 저희는 리조또 시켰어요~ 근처에서 스파게티 먹으러 왔는데 분위기도 괜찮네요./파스타는 역시 빠네😘 맛있어요 양이 많아서 둘이 다 못 먹을 정도네요 히힛",355
4.36,313,"/씬피자 부담없고 맛있어요/친절하고 맛있어요/피자집중 내 입맛에 제일 잘맞는 도미노피자/부천페이가능, 도미노피자 굿/피자 맛있어요/어린이날 기념 방문 포장하면 50% 할인이래요~!! 참고하셔여|!/더욱번창하세요/넘 맛있고 친절하시네요!/도미노피자 체고..~/맛있어요 포장해가기 좋아요",193
4.41,91,"/고기도 청국장도 맛나요/일요일 점심에 아내와 방문하였습니다. 메뉴는 제주명품흑돼지오겹살 2인분, 계란찜, 공기밥을 주문하였습니다. 물통에 반찬 찌거기와 물티슈에 소스 같은 찐득한게 붙어 있었지만 그러려니 하였습니다. 고기는 양이 조금 부족해 보였지만(2인분 360g) 적당히 두툼해 아내가 좋아하기에 넘겼습니다. 문제는 계란찜이었는데 적당히 먹을만 했지만 계란찜 안에서 둥글고 다리가 많이 보이는 무언가가 누워있었습니다. 쥐며느리…종업원이 확인하.../제주도에 가지않고 제주고기 먹을수 있어서 좋았어요./오늘 같이 흐린 날에 생각나는 한라산 도새기 오겹살 역시 맛나용~~/좋아여/오랜만에 방문했네요. 맛있어요/주변고깃집에서 먹어본 고기중 최고에요.,, 그리고 비빔냉면 맛집 ㅠㅠ고기도 냉면도 다다다다다맛있어요ㅠㅠ앞으로삼겹살은 이곳으로!/냉면이 맛있어요/친절하고 맛있어요 역시소문대로네요/좋아요",43
4.3,434,"/육칼 맛있어요~/평소에자주가서 먹어요 한끼 배부르게먹었어요^^ 어른, 애들 같이 먹을수있어서좋아요/맛있는 육계장. 육대장/육칼 칼칼해서 맛있어요~~/국물이 찐하고 맛있어요/좋아요~/굿/ㅎ/육칼이 더 잘나오는 듯📌/딸이 면이 먹고싶다해서 면좀주면 안되냐니까 단호하게 안된다니 면추가도없고 기분상해서 다신안간다",193
4.19,81,/고기랑 반찬은 맛있었는데 된장찌개가 반찬만큼의 맛은 아니였어요 유난히 큰목소리로 술먹으며 대화하는 가족때메 시끄러워 좀 불편했어요/왕갈비하고 밑반찬이 맛있어요/고기가 맛있어요/갈비가 맛있어요/좋아요/왕갈비도 맛있고 반찬이 깔끔하고 맛있어요/ㅅ/맛있어요~/말이 필요없는집 그냥 가서 드세요 밑반찬에 우무가사리가 웬말이냐 사이드메뉴에 추가해주세요!! 1년 4계절 먹게!!!/간만에 외식~ 갈비 맛나게 잘 먹었어용~♡,39
4.41,73,/언제 먹어도 맛있습니다. 죽 먹고 싶을때는 항상 여기서 먹고 있어요./맛있네요/굿굿/야채양이 아쉽네요../좋아요/좋아요/좋아요/좋아요/굿/너무 맛있고 친절하세요.,41
4.43,236,/김밥이 밥은 얇고 속은 꽉찬 김밥이어서 맛있어요! 돈까스랑 탕수육도 바삭해서 잘 먹었습니다~~/왜 포장인데..매번 젓가락이나 단무지등 하나도 안챙겨주고 달랑 음식만 넣는지 모르겠어요ㅡㅡ;;; 저번에는 포장해서 확인했는데 또 안 넣어서 손으로먹었는데 일일이 포장해갈때 마다 소비자가 직접 확인하고 달라고 해야하게 너무 불편해요. 귀찮거나 코스트 절감 때문이라면 그래도 손님한테 좀 물어보고 선택해서 할수있게 하지.. 포장에 모두 빼는지 이해가 안갑니다./친절하지는 않아요/맛있어요~/점심~/점심으로/적당한 가격..적당한 맛^^/항상 맛나게 먹어요 김밥이 맛있어요/좋아요/굿,192
4.51,159,/항상맛있네요/맛있어요/👍🏻/샌드위치 맛있어요/맛있어요 새로나온 신상도 좋네요/굿/좋아요/굿/맛나요./굿,73
0.0,0,/자주 가는곳이에요/자주 이용하고 있어요! 굳굳/친절하세요 ㅋㅋ 글구 좀 넓고 조용해서 좋았어요 ㅋㅋ/좋아요/화장실도 안에 있어서 편해요~/맛있어요 조용하고 넓어요/굿/맛있고 친절해요^^/굿,114
4.38,140,"/혼밥하기 좋고 김치찌개돈가스 칼칼하니 맛있었어요!/사장님 친절하시고 혼밥해도 좋은 곳이에요 맛도 좋아요/요기 맛있어요♡/근처 일 있어서 갔다가 방문 했는데 맛있네요 친절하고 맛나고 새우돈까스 정식 아이랑 둘이 먹었어요 10,000 원인데 넘 잘 나오네요 ^^/돈까스가 바삭바삭 맛있어서 종종 먹어용/양도 푸짐하고 맛도 풍부하고 맛있어요~/주차하기가 힘들어서 멀리 차대고 걸어가서 포장하는데 손님중에 아는 사람이 왔는지 계속 그쪽이랑 얘기만하고 다른 손님이 와도 아는척도 안하네요. ㅎㅎ 결국 테이블에 앉아 있던 손님이 눈치를 주고나서야 저에게 어서오세요 하네요. ㅎㅎ 매장도 좁아서 음식 나올 때 까지 밖에서 기다리는데 뻔히 밖에서 기다리는거 알면서도 이미 음식이 나왔음에도 나왔다는 말 한마디 안하고 기분이 좀 그렇더군요. 바쁜 점심시간도 아니고 손님도 한테이.../굿/좋아요",75
4.16,21,/건물 안쪽에 있어 창문뷰가 없어 아쉽지만 커피도 맛있고 친절한곳/좋아요/굿/굿/맛있어요~♡♡/굿/좋아요/분위기 좋고 친절하세요 ㅎㅎ/굿/맛있어요 샌드위치 쵝오,11
0.0,0,"/갈매기살 가격이 저렴해서 부담 없습니다 맛도 양념이 잘 되어 있어서 괜찮아요, 직원분들도 친절하십니다/갈매기살이맛있어요 그리고맥주를 시원하게 해주니 조아요/괜찮아요/음식의 맛은 있었지만 서비스가 최악이에요. 저희가 시킨 음식이 옆 테이블에 갔다 오는 것까지는 바쁘셔서 그렇겠지~ 라며 기분 나빠하시는 부모님께 이해하라는 식으로 말했어요. 그런데 계산을 할 때 4인분을 시켰는데 5인분이라고 찍혀있고 먹지도 않은 음료수도 찍혀있었어요. 어머니께 얼마 안 나 왔네요~라고 하시더라고요? 4인분 시켰고 다른 고기 추가했다고 말씀드려도 아니라고 이것도 1인분 추가했다고 기분나쁘다는 식으로 갸우뚱거.../신선하고 맛나요! 고기도 냄새안나고 맛있어요!/ㆍ/G/밑반찬이 잘 나오고 가성비가 좋습니다 갈매기 전문이라서 갈매기살이 넘 부드럽고 맛있구 육회도 넘넘 맛있어요 육회가격도 넘 저렴하고 가격대비 맛이 짱짱입니다/깨끗하고 친절하며 맛도 좋아요/맛나요!",37
4.42,114,/좋아요/가성비가좋아요/콜드브루는 커반이 진심최고에요! 여기서 먹으면 딴데꺼 맛없어서 못먹어요.ㅋㅋ 커반콜드브루 최고♡/굿/좋아요/친절해요!!!/좋아요/맛있어용/좋아요/좋아요,59
4.42,192,/보쌈이 맛있어요./👍/ㅎㅎ/굿/좋아여/좋아요/좋아요/여자친구랑 한참 먹고 왔어요~/보통/.,94
4.74,77,/커피 맛나네요/이미 옥길동에 꽤 많은 분들이 단골이지요? 아인슈페너만 먹다가 아메리카노랑 카야토스트도 배달시켜 먹어봤는데 역시👍👍👍/제조시간이 오래걸려서 미리 전화드리고 가요~ 네이버 주문에 아인슈페너 L사이즈 주문도 있으면 좋겠습니다. 기분이 다운되는 날 이 곳 아인슈페너 를 먹으면 금새 충전됩니다. ^^/아인슈페너 맛집이라 할 수 있어요. 옥길동 카페에 있는 아인슈페너는 다 먹어봤는데 여기가 제일 맛있네요. 300원 추가하면 디카페인으로 변경도 돼 서 저녁에도 부담없이 즐기기 좋습니다./여기 아인슈페너 커피가 참 맛있어요/좋아요/커피 너무 맛있어요/굿/특별한 커피맛은 아니지만 오며가며 잘 마셨어요/조아요,71
4.62,275,/커피와 음료들의 맛이 기본적으로 우수하다. 인근에선 가장 높은 수준의 맛. 공간이 넓고 자리도 넉넉하다. 특색있는 테마 인테리어 장식들도 재미있다./분위기조아요/커피도 맛있고 사장님도 친절하셔요~/음료도 맛있지만 계란빵도 추천해요 :)/좋아요/좋아요/좋아요./ㆍ/조아용 자주와요 분위기 조음/분위기 조아용 매번 와용,152
4.46,35,/너무 맛있어요^^양도많고 신선해여 감사합니다/늘 핫뿌링클~~매우면서 땡기는맛~~ 시즈닝이 넉넉히 많아 넘 좋아여~^^/매장도 청결하고 맛도 😀/후라이드치킨 너무 맛있어요 치즈볼도 맛있어요^^/맛초킹 맛있어요/굿/좋아요/좋아요/자주 갑니다./굿,37
0.0,0,/자주 가는곳이에요/자주 이용하고 있어요! 굳굳/친절하세요 ㅋㅋ 글구 좀 넓고 조용해서 좋았어요 ㅋㅋ/좋아요/화장실도 안에 있어서 편해요~/맛있어요 조용하고 넓어요/굿/맛있고 친절해요^^/굿,114
4.42,830,/초콜릿 무스를 시켰는데 체리? 딸기? 맛이 나왔네용? 다른맛들은 제대로 나왔는데... 너무 늦은시간에 가서 피곤하셨나봐요.. 그래도 맛있어서 모두 만족했어요!!/어피치 맛있어여~~^^/친절하진 않아요/다른매장에 비해 큰 특징은 없습니다. 신메뉴 있어서 먹어봤는데 괜찮네요./굳/맛나고 위생적이고 포장 완전 잘되어서 배달 빠르고 모든 점에 만족합니다./맛있어요/굿/매장은 작지만~여러가지맛 다 있구요 알바생들 ~~열씸이십니다,451
4.4,185,"/올해 음식값이 1,000원씩 인상되었다. 음식에 변화를 주고자 노력한 부분이 엿보인다. 미예약 시 오래 기다려야 함을 꼭 기억하세요.^^/일요일 점심시간에 자리는 여유가 있었어요. 음식은 무난한편입니다./자주 가는 집인데 이번엔 포장으로... 그런데 3인분 메밀2,우동1 주문했는데 집에 와보니 우동1이 빠졌네요. 그것땜에 다시 갈수도없고... 먹다만 느낌./맛있게 먹었어요/위생에 좀더 신경써주세요~~/좋아요/자주가는 곳이라 사진을 못찍었는데 가격대비 맛은 짱/좋아요/맛있어요/굿",87
4.4,126,/친절하고 맛있어요/굿/./굿/맛나요/가도가도 항상 맛있어요/돈가스가 젤 맛있네영/같은 국수나무 아니에요 이집이 맛있어요/맛있어요/좋아요,80
4.4,0,"/맛이 조금 아쉬워요/이곳 국치정식은 언제나 옳아요~👍ㅎㅎ/동네 맛집/양도 많고 맛도 좋고~~~ 우리동네 진정한 맛집이에요~~~👍💕ㅎㅎ/넘 맛있게 잘먹었습니다 겨울철 소바도 맛있고 싸이드돈까스도 입에 살살녹아요^^/굿/돈까스, 떡볶이 맛있어요. 제육볶음은 괜찮지만 살짝 짠 편이에요/친절하니 좋아요",101
0.0,0,없음,0
0.0,0,없음,0
0.0,0,없음,0
0.0,0,없음,0
4.33,39,/밑반찬 깔끔하고 친절해요/낮시간에 고등어구이 알탕 먹었어요. 고등어구이 맛있어요/음식이 깔끔하고 다 맛있어요/다 맛있어요/아침 일찍 간단하게 반주 하기 조아요/친절하세요/백반은 좀 약해요/음식이 다 정갈하고 맛있어요 사장님도 친절하세요/좋아요,22
4.56,123,/역시한솥/요즘 코로나 땜에 매장내 취식이 안되는것 같더라구요 전 항상 포장해서 괜찮았어요~/사장님 친절을 베풀어 주셔서 감사합니다. 추운 날 한 끼 식사 잘 했습니다./좋아요/사장님들이 마스크를 잘 안 쓰시네요/좋아요/맛있어요 양도 많고!/좋아요/사장님 너무 친절하시구 맛있어요!/한솥 돈까스도련님은 사랑입니다,53
4.04,34,/평균은 합니다/청렴해요/맜있어요/칼국수 잘 먹었습니다/맛있어요/맛있어여/좋네요/굿,8
4.23,41,"/친절하시고 적당히 먹을만큼 메뉴를 권해주셔서 좋았습니다 맛도 물론 좋았구요^^/너무 맛있어요!! 회 많이 먹고싶어서 활어사시미로 시켰는데 회는 당연하게 맛있고 튀김이나 무침, 지리탕도👍 다음에 또 가고싶어요~/맛있어요!! 반찬이 맛있고 무침이 새콤하니 넘 좋네요/음식도깔끔하고 맛있어요~~^^/좋아요/맛있고 사장님이 친절해요~/활참복지리 먹엇는데 국물도 시원하고 정말맛있엇어요처음 먹어보는건데 거리낌없이 맛있어서 잘 먹엇어요 다음에 또 이용할게요 잘 먹었습니다 🤍/맛 전문/5~6년은 된 단골입니다. 환절기되면 감기를 달고살아서 꼭 잊지않고 복어매운탕을 찾게되는데요. 복어매운탕 먹고나면 감기가 뚝 떨어지거든요. 맛도 좋거니와 나오는 반찬들이 집밥처럼 맛있어요. 사장님이 인심이 좋으셔서 양도 푸짐하게 주셔서 저희 식구 모두 가족 모임도 자주 이곳에서 할 정도로 맛집입니다. 코로나시대에 면역력이 중요한데 오늘도 복어매운탕 잘 먹고 갑니다. 또 방문할께요~^^/어버이날 부모님과 식사하려고 방문했습니다. 활참복코스 주문하였고 복어껍질무침, 복어묵, 복어불고기, 복어회, 복지리 등 다양하게 먹었습니다. 음 식 하나하나에 정성이 느껴지고 맛있네요. 특히 사장님이 너무 친절하십니다~^^",29
4.55,43,/굿/좋어요/좋아요/굿/좋아요/./굿/아이스크림 가격이 착해여/깔끔하고 친절해요/좋아여,47
0.0,0,/굿/괜찮아요/굿/친절해요/좋아요/친절해요/좋아요/굿,8
0.0,0,/음식이 너무 짜요./싸고 맛있어요,2
0.0,0,/저렴하며 커피 맛나요/맛있어요,2
0.0,0,없음,2
4.38,821,"/환장하게 맛있음😍 살얼음 동동 시원하니 냉면 맛 제대로 느낄 수 있어요. 냉면이 원래 이렇게 맛있는 음식이었나요,,돈까스도 촉촉 바삭이 공존하는 경양식의 정석이네요. 현주민들로부터 꾸준히 인기가 많은 이유를 알겠어요! 너무 맛있게 잘 먹고 가요👏/가격도 착하고 양도 많아 남겼네요.. 번창하세여/돈까스 냉면 가성비 좋고 맛있어요^^/직원들도 넘맛나게 먹었습니다 ^^ 레알 소사 맛집이셔요/가게는 손님이 많아 복작거리지만 모두 친절하시고 냉면이 시원하고 맛있습니다./냉면 짱맛 여긴 돈까스도 맛있어요!/500원 인상해도 맛은 그대로,,, 소사역 소확행/넘맛나게 잘먹었습니다 ^^/가격은 많이 올랐지만 냉면처돌이는 맛있어서 자주 가요..../돈까스맛있어요",472
4.32,53,/한식바비큐가 젤 맛있어요/😀/많이파세요/좋아요/ㅒ/그럭저럭 괜춘 괜춘/맛있어요/./서울 지점보다 가격이 더 싸요~ 완전 맛있어요~^^/좋아요,13
4.33,487,/가까워서 좋아요/넓어서 좋아요/매장 크고 넓어서 좋네요/같이먹은사람이맛있다고하네요/투썸이야 머 ㅎㅎ/굿/굿/굿/친절하고 좋습니다,197
4.49,63,/주인 바뀌신 후 가게도 청결해지고 무엇보다 양도 많고 음식이 다~ 맛있어요.^^ 셀프 반찬이며 국이며 계속 먹을 수 있어서 가성비 최고입니다. 앞으로도 부담없이 자주 찾아갈꺼 같아요./일하기전 주문했는데 ㅜㅜ김밥이 다 터지고 가격대비 김밥양이 다른곳에 비해 너무 작아요ㅜㅜ/별루/굿/굿/굿/식사하러 와여/혼자 점심시간 피해서 갔는데요 점심 장사방해될까봐요 저 혼자 식사중인데 단체손님이 오더라구요 여자 직원분이 저보고 자리를 바꾸라네요? 테이 블 크기와 의자수도 같은데요 ㅎㅎ 굉장히 불쾌한 말투로말하더군요 단체손님들한테는 똑같은 자리 못앉아서 어떡하냐며 ㅎㅎ친절하게 말하더라구 요 저는 손님 아닌가요? 일부러 점심시간 피해서 갔는데 눈치보여서 코로먹었는지 입으로 먹었는지도 모르게 빨리 먹고 나왔어요 오늘 처음가봤.../김밤싸는데 시간이 넘 느려서 기다리는데 짜증나요/김밥짱.이에욤,32
4.51,104,/항상 자주 가는 곳입니다 항상 친절하시고 좋습니다 유명한 백마강 풍천장어 보다 맛도 더 좋습니다~^^/간만에 맛있는집에서 모임햇네요./가격도저렴하고 직접 잡아서 주시니 싱싱하고 맛나요/ㅡ/맛있어요./좋아요/굿/특별한 날에 가도 좋고 일상적인 날에 가도 좋아요! 친절하고 맛있습니다 :)/장어가 싸요...맛도좋구요.../싱싱하고 깔끔해요.,65
4.61,42,/맛나요/맛있어요/아/맛있어요/미니족 맛있어요/친절합니다/굿/배달빨라요/족발 구입했는데 괜찮아요/괜찮아요,19
3.97,14,없음,19
