상호명,행정동명,위도,경도,가게_주소
홍이모옛날통닭,소사본동,37.4789856912507,126.794293592011,경기 부천시 호현로474번길 31
치킨플러스,소사본동,37.4712973521314,126.795818928492,경기 부천시 소사로 146
인생아구찜,소사본동,37.479782282675,126.794653899762,경기 부천시 소삼로15번길 23 1층
카페G,소사본동,37.4800908743959,126.795756964261,경기 부천시 소사로 244
빨간통피자,소사본동,37.4772852732098,126.796310755636,경기 부천시 소삼로30번길 27
낭만이흐르는호프앤포차,소사본동,37.4810414551166,126.794430155209,경기 부천시 경인옛로 22 110호
이들,소사본동,37.4707820871205,126.79919606816,경기 부천시 은성로76번길 99 1층
소문난곱창,소사본동,37.4792790625839,126.793904466535,경기 부천시 호현로474번길 24-2
수경왕만두,소사본동,37.4777485538675,126.795794554751,경기 부천시 소사로 220
국선참치,소사본동,37.4775503574707,126.795797735285,경기 부천시 소사로 220
BBQ치킨,소사본동,37.4772388681881,126.795293967661,경기 부천시 소사로 211-2 1층 비비큐
소사떡집,소사본동,37.4791804260764,126.793951276792,경기 부천시 호현로474번길 22
물에빠진스파게티,소사본동,37.478556040886,126.793689965632,경기 부천시 은성로19번길 76 1층 103호
칭구따라,소사본동,37.4750901323371,126.794876237682,경기 부천시 은성로 38
또묵지,소사본동,37.4805917098673,126.793623319332,경기 부천시 호현로 480
밀밭골국수,소사본동,37.4807431226011,126.79433319068,경기 부천시 소사로247번길 24
옛날시골통닭,소사본동,37.4803681029026,126.793785203857,경기 부천시 경인옛로22번길 24
한잔비어,소사본동,37.4750901323371,126.794876237682,경기 부천시 은성로 38
한결남원추어탕,소사본동,37.4807431226011,126.79433319068,경기 부천시 소사로247번길 24
우리집,소사본동,37.4787254789071,126.793517649691,경기 부천시 호현로439번길 32 부천우리노리어린이집
한솥도시락서울신학대점,소사본동,37.4813116161099,126.792650689737,경기 부천시 호현로489번길 6
김밥천국,소사본동,37.4726169578384,126.794452435979,경기 부천시 호현로 495
김밥마을,소사본동,37.4808292908144,126.792183579964,경기 부천시 호현로489번길 20
59피자,소사본동,37.481537069935,126.792669674956,경기 부천시 은성로 83-1
지리산솥뚜껑암돼지,소사본동,37.4750736132563,126.795023475585,경기 부천시 은성로 40 1층
호원냉면&수제돈가스,소사본동,37.4776799597498,126.795252968427,경기 부천시 소사로 217
오미청국장,소사본동,37.4750584927927,126.79442452236,경기 부천시 은성로 34-1
show,소사본동,37.4818210660789,126.794892505889,경기 부천시 소삼로 26
자매분식,소사본동,37.4815826756076,126.790961649758,경기 부천시 부일로571번길 45-1
토암골옛날막창,소사본동,37.4766438179834,126.795258297063,경기 부천시 부일로562번길 4
꾸브라꼬숯불두마리치킨,소사본동,37.4740782561954,126.798148452622,경기 부천시 은성로68번길 26 1층
피자마루,소사본동,37.4805062334134,126.791431251312,경기 부천시 호현로489번길 38
예찬솥밥추어탕,소사본동,37.4790656242535,126.793297363094,경기 부천시 소삼로 1
소문난밥집,소사본동,37.4801538395085,126.794862751778,경기 부천시 소삼로15번길 34-2
스시990,소사본동,37.4808864642793,126.79248793406,경기 부천시 호현로489번길 13
향기커피호프,소사본동,37.4813116161099,126.792650689737,경기 부천시 호현로489번길 6
피제이피자,소사본동,37.4725626416515,126.79885103547,경기 부천시 지봉로 73 1층 피제이피자
삼거리순대국식당,소사본동,37.4778780647771,126.792592875785,경기 부천시 호현로 477
비어클럽,소사본동,37.4753270160394,126.795132463135,경기 부천시 은성로 39-1
대보회수산,소사본동,37.478787135234,126.795144743451,경기 부천시 소삼로 19
도레미호프타운,소사본동,37.4753077301081,126.795008410917,경기 부천시 은성로 39
부길왕갈비,소사본동,37.4810384602959,126.792372423084,경기 부천시 호현로489번길 14
파리바게뜨,소사본동,37.4811515350006,126.792856782686,경기 부천시 소사동로 82 센트럴프라자 105호
픽미픽미아이스,소사본동,37.4815241341814,126.793167371642,경기 부천시 부흥로457번길 6 1층
화오양꼬치,소사본동,37.4798521477776,126.795319849614,경기 부천시 소사로 239-1
비어비워,소사본동,37.480077278195,126.793541139571,경기 부천시 호현로 476
도로시,소사본동,37.4797188060013,126.797266672132,경기 부천시 소삼로 47-1 부천소사역 푸르지오 상가
충남원,소사본동,37.4753160661501,126.792294927648,경기 부천시 은성로 15 166-8
달구벌곱창막창,소사본동,37.4703158386826,126.795879894394,경기 부천시 소사로 135
