상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,합친데이터,네이버키워드,naver_store_url,store_address,store_score,visitor_comment
본죽,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.467753024189,126.822317011287,별식/퓨전요리죽전문점한식 음식점업,범박동%20본죽,https://m.place.naver.com/restaurant/1256987099,경기 부천시 범안로 118 신한은행365) 영플러스 101호,4.38,체해서 아들램이 제대로 못먹었는데..낚지김치죽먹고 소고기야채죽도 먹고 잘먹으니 기특하네요^^ 역시 죽은 본죽입니다^^
영양사가차려주는밥상,한식,한식/백반/한정식,한식 음식점업,범박동,37.4684562851609,126.821458131721,한식한식/백반/한정식한식 음식점업,범박동%20영양사가차려주는밥상,https://m.place.naver.com/restaurant/1802642578,경기 부천시 옥길로 116 문영퀸즈파크 A동 지하1층,4.31,Good
청년다방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4673174360858,126.822007320274,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20청년다방,https://m.place.naver.com/restaurant/1605463968,경기 부천시 옥길로 113 상림프라자 102호,4.44,차돌세트 푸짐해요.볶음밥도 맛있어요
감탄떡볶이범박점,분식,떡볶이전문,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식떡볶이전문분식 및 김밥 전문점,범박동%20감탄떡볶이범박점,https://m.place.naver.com/restaurant/784508270,경기 부천시 범안로 117,4.42,포장해먹기 좋음
명인참치,일식/수산물,참치전문점,일식 음식점업,범박동,37.4726990381664,126.813240425213,일식/수산물참치전문점일식 음식점업,범박동%20명인참치,https://m.place.naver.com/restaurant/37038975,경기 부천시 양지로92번길 9-3 상정프라자 101호,4.32,^^
범박식당,한식,한식/백반/한정식,한식 음식점업,범박동,37.4671348442594,126.811870125257,한식한식/백반/한정식한식 음식점업,범박동%20범박식당,https://m.place.naver.com/restaurant/36438461,경기 부천시 양지남로 49,4.45,역곡에서 자주가는 맛집. 가보면 왜 맛집이라 하는지 알 수 있습니다. 가성비 좋은 이탈리아 레스토랑이라 데이트코스나 가족모임 장소로 최고예요.
도미노피자부천옥길점,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4717534455927,126.816884316529,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20도미노피자부천옥길점,https://m.place.naver.com/restaurant/872571013,경기 부천시 양지로 125 예품빌딩 1층,4.37,씬피자 부담없고 맛있어요
한라산도새기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4721850284989,126.814096440567,한식갈비/삼겹살한식 음식점업,범박동%20한라산도새기,https://m.place.naver.com/restaurant/58353341,경기 부천시 양지로 102,4.41,
육대장,한식,한식/백반/한정식,한식 음식점업,범박동,37.4730613277981,126.813426886801,한식한식/백반/한정식한식 음식점업,범박동%20육대장,https://m.place.naver.com/restaurant/33758558,경기 부천시 양지로 93,4.3,육칼 맛있어요~
이강숯불갈비,한식,갈비/삼겹살,한식 음식점업,범박동,37.4744610858647,126.81194634488,한식갈비/삼겹살한식 음식점업,범박동%20이강숯불갈비,https://m.place.naver.com/restaurant/38711169,경기 부천시 양지로 69,4.19,왕갈비하고 밑반찬이 맛있어요
죽이야기,별식/퓨전요리,죽전문점,한식 음식점업,범박동,37.4672485119523,126.821420571102,별식/퓨전요리죽전문점한식 음식점업,범박동%20죽이야기,https://m.place.naver.com/restaurant/12789908,경기 부천시 범안로 117 현대리치모아상가 126호,4.41,언제 먹어도 맛있습니다. 죽 먹고 싶을때는 항상 여기서 먹고 있어요.
얌샘김밥,분식,라면김밥분식,분식 및 김밥 전문점,범박동,37.4626379553638,126.812698640049,분식라면김밥분식분식 및 김밥 전문점,범박동%20얌샘김밥,https://m.place.naver.com/restaurant/1232756989,경기 부천시 범안로 221,4.43,친절하지는 않아요
홍루이젠,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",범박동,37.4655747846638,126.827076332873,"패스트푸드샌드위치전문점피자, 햄버거, 샌드위치 및 유사 음식점업",범박동%20홍루이젠,https://m.place.naver.com/restaurant/1127590879,경기 부천시 양지남로 22 1층,4.51,항상맛있네요
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4626382960409,126.812732545861,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20이디야커피,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26,,자주 가는곳이에요
코바코,양식,돈가스전문점,서양식 음식점업,범박동,37.4672485119523,126.821420571102,양식돈가스전문점서양식 음식점업,범박동%20코바코,https://m.place.naver.com/restaurant/1247295677,경기 부천시 양지로184번길 29,4.38,혼밥하기 좋고 김치찌개돈가스 칼칼하니 맛있었어요!
옥길동커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4669179977131,126.823517071921,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20옥길동커피,https://m.place.naver.com/restaurant/387395309,경기 부천시 범안로 117,4.16,건물 안쪽에 있어 창문뷰가 없어 아쉽지만 커피도 맛있고 친절한곳
옥길동갈매기,한식,갈비/삼겹살,한식 음식점업,범박동,37.4679798269767,126.822471716806,한식갈비/삼겹살한식 음식점업,범박동%20옥길동갈매기,https://m.place.naver.com/restaurant/1654114240,경기 부천시 양지로171번길 29 1층,,"갈매기살 가격이 저렴해서 부담 없습니다 맛도 양념이 잘 되어 있어서 괜찮아요, 직원분들도 친절하십니다"
커피에반하다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.468597723533,126.821184599758,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20커피에반하다,https://m.place.naver.com/restaurant/1504755503,경기 부천시 양지로 89,4.44,좋아툐
원할머니보쌈,한식,족발/보쌈전문,한식 음식점업,범박동,37.4698038772609,126.819255143309,한식족발/보쌈전문한식 음식점업,범박동%20원할머니보쌈,https://m.place.naver.com/restaurant/12928616,경기 부천시 부일로 732,4.42,보쌈이 맛있어요.
토프레소,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698399931171,126.809385467564,커피점/카페커피전문점/카페/다방비알콜 음료점업,범박동%20토프레소,https://m.place.naver.com/restaurant/1250249781,경기 부천시 양지로184번길 21 1층 토프레소 옥길점,4.74,커피 맛나네요
테이크파이브,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,범박동,37.4732739104564,126.813061755155,유흥주점빠/카페/스탠드빠일반유흥 주점업,범박동%20테이크파이브,https://m.place.naver.com/restaurant/35769982,경기 부천시 양지로67번길 42,4.62,커피와 음료들의 맛이 기본적으로 우수하다. 인근에선 가장 높은 수준의 맛. 공간이 넓고 자리도 넉넉하다. 특색있는 테마 인테리어 장식들도 재미있다.
Bhc치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,범박동,37.4712023995777,126.809567347043,닭/오리요리후라이드/양념치킨치킨 전문점,범박동%20Bhc치킨,https://m.place.naver.com/restaurant/1416221622,경기 부천시 양지로67번길 34,4.46,늘 핫뿌링클~~매우면서 땡기는맛~~ 시즈닝이 넉넉히 많아 넘 좋아여~^^
이디아,기타음식업,고속도로휴게소,그외 기타 음식점업,범박동,37.4736904041381,126.812365539063,기타음식업고속도로휴게소그외 기타 음식점업,범박동%20이디아,https://m.place.naver.com/restaurant/33252921,경기 부천시 양지로67번길 26,,자주 가는곳이에요
베스킨라빈스부천범박점,패스트푸드,아이스크림판매,제과점업,범박동,37.475249946229,126.808858725198,패스트푸드아이스크림판매제과점업,범박동%20베스킨라빈스부천범박점,https://m.place.naver.com/restaurant/11783142,경기 부천시 범안로 77,4.42,어피치 맛있어여~~^^
박지훈Restaurant,일식/수산물,음식점-일식,일식 음식점업,범박동,37.4705232151822,126.812811325728,일식/수산물음식점-일식일식 음식점업,범박동%20박지훈Restaurant,https://m.place.naver.com/restaurant/37941936,경기 부천시 양지남로23번길 8-12 1층,4.38,"올해 음식값이 1,000원씩 인상되었다. 음식에 변화를 주고자 노력한 부분이 엿보인다. 미예약 시 오래 기다려야 함을 꼭 기억하세요.^^"
국수나무,분식,국수/만두/칼국수,분식 및 김밥 전문점,범박동,37.4712023995777,126.809567347043,분식국수/만두/칼국수분식 및 김밥 전문점,범박동%20국수나무,https://m.place.naver.com/restaurant/33213315,경기 부천시 범안로 117,4.4,굿
부자돌솥설렁탕,한식,설렁탕집,한식 음식점업,소사동,37.4857793335271,126.791628985058,한식설렁탕집한식 음식점업,소사동%20부자돌솥설렁탕,https://m.place.naver.com/restaurant/21159051,경기 부천시 부흥로 471-8,4.17,맛있고 친절하셔요
