상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
돈앤밥스,양식,돈가스전문점,서양식 음식점업,괴안동,37.4745096386535,126.80336468946
윤피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4768506939119,126.807657506866
커피에반하다,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,괴안동,37.480460866444,126.80557629261
펍앤킷,유흥주점,호프/맥주,기타 주점업,괴안동,37.4795773196823,126.806415715477
선어도참치활어초밥,일식/수산물,참치전문점,일식 음식점업,괴안동,37.4768506939119,126.807657506866
한마당식당,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4793493105138,126.804361606118
영구스피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.4768998449134,126.808063737474
순수케이터링푸드,음식배달서비스,음식출장조달,출장 음식 서비스업,괴안동,37.4796230590699,126.807376022222
바지락손칼국수,분식,라면김밥분식,분식 및 김밥 전문점,괴안동,37.4780752288297,126.807570213546
신정상회,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4828031084757,126.809100636418
신참치명가,한식,한식/백반/한정식,한식 음식점업,괴안동,37.4771099018903,126.80834304875
푸드존피자마루,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",괴안동,37.48252029162,126.806968154685
네네치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,괴안동,37.4742071404344,126.804635724932
맛나,분식,라면김밥분식,분식 및 김밥 전문점,괴안동,37.4806208311215,126.8044657156
카페65도씨,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4698682060989,126.812188615467
블럭앤카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4727226460909,126.807530900738
한우세계,한식,갈비/삼겹살,한식 음식점업,범박동,37.4701589658587,126.80795599548
장산곶수산,일식/수산물,횟집,한식 음식점업,범박동,37.4721850284989,126.814096440567
마론,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,범박동,37.4733626376413,126.812924687767
도너타임,제과제빵떡케익,제과점,제과점업,범박동,37.4712023995777,126.809567347043
