상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url
이영커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6591538942722,127.127631360196,별내동%20이영커피,https://m.place.naver.com/restaurant/1377719328
블랙앤쿡,한식,한식/백반/한정식,한식 음식점업,별내동,37.6477548035615,127.122642628828,별내동%20블랙앤쿡,https://m.place.naver.com/restaurant/1832077000
프라이빗,양식,정통양식/경양식,서양식 음식점업,별내동,37.6575811100582,127.126958418015,별내동%20프라이빗,https://m.place.naver.com/restaurant/37049231
스틸러,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.651361937211,127.114599398415,별내동%20스틸러,https://m.place.naver.com/restaurant/1739658650
아르티아고,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6508797023797,127.111579348075,별내동%20아르티아고,https://m.place.naver.com/restaurant/1617356654
볼,한식,한식/백반/한정식,한식 음식점업,별내동,37.6587664335015,127.128848600224,별내동%20볼,https://m.place.naver.com/restaurant/13068233
더맛,제과제빵떡케익,제과점,제과점업,별내동,37.6660025111382,127.131393708651,별내동%20더맛,https://m.place.naver.com/restaurant/36357868
경기떡집,제과제빵떡케익,떡전문,제과점업,별내동,37.6518807885898,127.111703413611,별내동%20경기떡집,https://m.place.naver.com/restaurant/1293095350
별내청학동부침개,유흥주점,호프/맥주,기타 주점업,별내동,37.6454385434525,127.126205356664,별내동%20별내청학동부침개,https://m.place.naver.com/restaurant/1364368617
한우고기소,한식,기타고기요리,한식 음식점업,별내동,37.651866863929,127.112247546311,별내동%20한우고기소,https://m.place.naver.com/restaurant/1348886573
그리다,한식,한식/백반/한정식,한식 음식점업,별내동,37.657523528845,127.126483084685,별내동%20그리다,https://m.place.naver.com/restaurant/1627673584
제이글로벌앤,한식,한식/백반/한정식,한식 음식점업,별내동,37.6458850785005,127.125667533698,별내동%20제이글로벌앤,https://m.place.naver.com/restaurant/417499470
베스트비어,유흥주점,호프/맥주,기타 주점업,별내동,37.6573520205526,127.116760964989,별내동%20베스트비어,https://m.place.naver.com/restaurant/1086747839
후라이드참잘하는집,유흥주점,호프/맥주,기타 주점업,별내동,37.6448756557939,127.111163605462,별내동%20후라이드참잘하는집,https://m.place.naver.com/restaurant/1270437696
어부가,일식/수산물,갈치/생선구이,한식 음식점업,별내동,37.6687266906637,127.135487981085,별내동%20어부가,https://m.place.naver.com/restaurant/1649586388
2대맛태남양주별내점,일식/수산물,갈치/생선구이,한식 음식점업,별내동,37.6545027383112,127.104543697476,별내동%202대맛태남양주별내점,https://m.place.naver.com/restaurant/38571402
고양이카페38.5,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6663231558143,127.11753878497,별내동%20고양이카페38.5,https://m.place.naver.com/restaurant/35075877
청와삼대,한식,한식/백반/한정식,한식 음식점업,별내동,37.6433701169675,127.111056899852,별내동%20청와삼대,https://m.place.naver.com/restaurant/37397979
김밥나라,분식,라면김밥분식,분식 및 김밥 전문점,별내동,37.6499180938157,127.113109337829,별내동%20김밥나라,https://m.place.naver.com/restaurant/1919125671
이서테이블,한식,한식/백반/한정식,한식 음식점업,별내동,37.6530835821669,127.112289725684,별내동%20이서테이블,https://m.place.naver.com/restaurant/1190405097
이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6461968614505,127.126400445436,별내동%20이디야커피,https://m.place.naver.com/restaurant/36090806
꾸이스타,한식,한식/백반/한정식,한식 음식점업,별내동,37.6483065780503,127.124143308727,별내동%20꾸이스타,https://m.place.naver.com/restaurant/121758979
미나요시,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6656554306779,127.117410673553,별내동%20미나요시,https://m.place.naver.com/restaurant/1761451135
명가식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6671932758843,127.115816901371,별내동%20명가식당,https://m.place.naver.com/restaurant/11869387
산장커피숍,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.6537117042345,127.104791187989,별내동%20산장커피숍,https://m.place.naver.com/restaurant/11475793
소물리에정육식당,한식,기타고기요리,한식 음식점업,별내동,37.6582746880866,127.130588391484,별내동%20소물리에정육식당,https://m.place.naver.com/restaurant/1380433812
쥬씨삼육대점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,별내동,37.644084648026,127.110221188351,별내동%20쥬씨삼육대점,https://m.place.naver.com/restaurant/38462744
멤버,유흥주점,호프/맥주,기타 주점업,별내동,37.6454385434525,127.126205356664,별내동%20멤버,https://m.place.naver.com/restaurant/37336975
더램,한식,기타고기요리,한식 음식점업,별내동,37.656625244037,127.129292953058,별내동%20더램,https://m.place.naver.com/restaurant/55776159
비트락,한식,한식/백반/한정식,한식 음식점업,별내동,37.646875127918,127.125519945422,별내동%20비트락,https://m.place.naver.com/restaurant/150840701
