상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도,네이버키워드,naver_store_url,store_address
도시피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6517996632035,127.114095565489,별내동%20도시피자,https://m.place.naver.com/restaurant/1613546865,경기 남양주시 별내5로23번길 18-6 1층 101호
BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,별내동,37.6513773223763,127.115449158528,별내동%20BHC치킨,https://m.place.naver.com/restaurant/35644235,경기 남양주시 덕송2로10번길 19 102호
에그드랍,패스트푸드,샌드위치전문점,"피자, 햄버거, 샌드위치 및 유사 음식점업",별내동,37.6473042401309,127.12384911638,별내동%20에그드랍,https://m.place.naver.com/restaurant/1061331099,경기 남양주시 별내중앙로 54 105호
곱창의전설,한식,곱창/양구이전문,한식 음식점업,별내동,37.6460277760781,127.126685719948,별내동%20곱창의전설,https://m.place.naver.com/restaurant/1533289825,경기 남양주시 별내중앙로 36-37 2층 201호
다온카페,한식,한식/백반/한정식,한식 음식점업,별내동,37.6430308891028,127.121100476588,별내동%20다온카페,https://m.place.naver.com/restaurant/1398454563,경기 남양주시 별내면 순화궁로 929
선식당,한식,한식/백반/한정식,한식 음식점업,별내동,37.6509258194696,127.114117278686,별내동%20선식당,https://m.place.naver.com/restaurant/1674820325,경기 남양주시 별내5로5번길 4-81
화로상회,부페,고기부페,한식 음식점업,별내동,37.666257131585,127.115941355051,별내동%20화로상회,https://m.place.naver.com/restaurant/1294025206,경기 남양주시 덕송2로6번길 21
짐키친,한식,한식/백반/한정식,한식 음식점업,별내동,37.6459121073364,127.125667216868,별내동%20짐키친,https://m.place.naver.com/restaurant/1505504211,경기 남양주시 별내중앙로 30 로데오몰 11층
덮덮밥,한식,한식/백반/한정식,한식 음식점업,별내동,37.6665923442996,127.113783751133,별내동%20덮덮밥,https://m.place.naver.com/restaurant/1636216646,경기 남양주시 덕송2로10번길 3-90 1층
풍년숯불갈비,한식,갈비/삼겹살,한식 음식점업,대야동,37.4477373831368,126.790749381468,대야동%20풍년숯불갈비,https://m.place.naver.com/restaurant/18225017,경기 시흥시 복지로91번길 8 삼성홈타운
