상호명,업종중분류명,업종소분류명,표준산업분류명,행정동명,위도,경도
시골집갈치밥상,한식,한식/백반/한정식,한식 음식점업,대야동,37.3146936738228,126.917928967641
안동국밥시흥계수점,한식,한식/백반/한정식,한식 음식점업,대야동,37.4504415237466,126.818463286228
진도야족발보쌈,한식,족발/보쌈전문,한식 음식점업,대야동,37.4431605151225,126.787274604384
설악추어탕,한식,추어탕전문,한식 음식점업,대야동,37.4439043068097,126.792155883243
모모솜사탕,분식,스낵,분식 및 김밥 전문점,대야동,37.453752701672,126.816195927683
철판때기,한식,한식/백반/한정식,한식 음식점업,대야동,37.4520141644787,126.795732574214
장수촌,한식,한식/백반/한정식,한식 음식점업,대야동,37.4594895023584,126.783970366412
모도리감자탕뼈찜,한식,한식/백반/한정식,한식 음식점업,대야동,37.4424649502175,126.792382433969
동춘칡냉면,한식,냉면집,한식 음식점업,대야동,37.4489220648686,126.791171074995
빈체로군포,양식,기타전문서양음식점,서양식 음식점업,대야동,37.3157547588731,126.919662436486
베스트,한식,한식/백반/한정식,한식 음식점업,대야동,37.442190744106,126.790239721037
디아모,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4456683510513,126.799032531452
도둑과시인들,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4589683225093,126.784984786805
장어파장어,일식/수산물,민물장어전문,한식 음식점업,대야동,37.3249227514256,126.888006052334
장미와연꽃호프,유흥주점,호프/맥주,기타 주점업,대야동,37.4423096907839,126.786022664866
KFC,패스트푸드,패스트푸드,그외 기타 음식점업,대야동,37.4416430549412,126.791310790704
민속꼬치,분식,라면김밥분식,분식 및 김밥 전문점,대야동,37.4465831369015,126.788021747421
시카고라운지,유흥주점,호프/맥주,기타 주점업,대야동,37.4432746022585,126.791374950678
갯벌민물장어기장산꼼장어,일식/수산물,민물장어전문,한식 음식점업,대야동,37.4523164381763,126.795332152115
백년회관서서갈비,한식,갈비/삼겹살,한식 음식점업,대야동,37.4432746022585,126.791374950678
마신떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,대야동,37.325694337831,126.917771236804
콩심,한식,한식/백반/한정식,한식 음식점업,대야동,37.4439043068097,126.792155883243
몽비쥬,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,대야동,37.4456683510513,126.799032531452
